,Date,Open,High,Low,Close,Adj Close,Volume,Returns,MovingAverage_50,MovingAverage_200,VolumeChange,VolumeMovingAverage_50,VolumeMovingAverage_200,MarketReturns,CAPM,HighLowRange,HighCloseRange,LowCloseRange,Volatility,RSI,Momentum,VolumeMovingAverage_10,PriceLag_1,ReturnLag_1,PriceLag_3,ReturnLag_3,PriceLag_5,ReturnLag_5,Mkt-RF,SMB,HML,RMW,CMA,RF,ADS_Index,UNRATE,"('Adj Close', 'BYD')","('Adj Close', 'VWAGY')","('Close', 'BYD')","('Close', 'VWAGY')","('High', 'BYD')","('High', 'VWAGY')","('Low', 'BYD')","('Low', 'VWAGY')","('Open', 'BYD')","('Open', 'VWAGY')","('Volume', 'BYD')","('Volume', 'VWAGY')"
2834,30-09-2021,260.3333435,263.043335,258.3333435,258.4933472,258.4933472,53868000,-0.007461809,239.6994684,233.4979839,-0.142621127,56124858,88404559.5,0.002120676,0.019941762,4.709991455,2.606658936,2.10333252,3.139994303,64.2987446,6.163345337,63027120,260.436676,0.004822779,263.7866821,0.021914063,251.2133331,0.002260815,-1.02,0.08,-0.77,-1.22,-0.36,0,0.342835,4.8,62.09984589,25.20779991,63.25999832,31.12000084,64.56999969,31.31500053,62.36999893,30.89999962,64.56999969,31.12999916,1905100,374800
2835,01-10-2021,259.4666748,260.2600098,254.5299988,258.4066772,258.4066772,51094200,-0.000335289,240.539202,233.7346006,-0.051492537,56240400,87983958,0.002120676,0.019956875,5.730010986,1.766662598,3.963348389,3.820007324,62.33160177,5.243347168,59675280,258.4933472,-0.007461809,259.186676,-0.017438356,258.1300049,0.02753306,1.1,0.47,0.5,-0.1,0.61,0,0.399719,4.5,65.18227386,25.24830055,66.40000153,31.17000008,66.94999695,31.26000023,63.91999817,30.91200066,64.09999847,31.23999977,1308000,250200
2836,04-10-2021,265.5,268.9899902,258.706665,260.5100098,260.5100098,91449900,0.008139621,241.460202,233.9992007,0.789829374,57193104,87809770.5,0.002120676,0.019974848,10.2833252,10.58331299,-0.299987793,6.85555013,63.67194179,17.12001038,61392960,258.4066772,-0.000335289,260.436676,0.004822779,263.7866821,0.021914063,-1.43,0.4,2.33,0.7,1.06,0,0.548828,4.5,64.79941559,25.02959442,66.01000214,30.89999962,67.40000153,31.17000008,65.22000122,30.78000069,66.15000153,31,860600,390900
2837,05-10-2021,261.6000061,265.769989,258.0666809,260.1966553,260.1966553,55297800,-0.00120285,242.2800018,234.2070173,-0.395321373,56778864,87242208,0.002120676,0.019955036,7.703308105,5.259979248,2.443328857,5.135538737,59.89923059,13.73664856,62023530,260.5100098,0.008139621,258.4933472,-0.007461809,259.186676,-0.017438356,1.05,-0.57,-0.07,-0.07,-0.31,0,0.593254,4.5,63.67050934,25.04984283,64.86000061,30.92499924,66.65000153,31,64.76999664,30.68000031,66.58999634,30.73900032,1157700,365100
2838,06-10-2021,258.7333374,262.2200012,257.7399902,260.9166565,260.9166565,43898400,0.002767142,243.1998016,234.3532672,-0.206145633,55688034,84129807,0.002120676,0.019963455,4.480010986,2.023345947,2.456665039,2.986673991,60.21733407,10.26998901,61875480,260.1966553,-0.00120285,258.4066772,-0.000335289,260.436676,0.004822779,0.33,-1,-0.49,0.33,-0.69,0,0.635299,4.5,63.19930649,24.18717384,64.37999725,29.86000061,64.90000153,29.88999939,63.61000061,29.35000038,63.68999863,29.42000008,1365200,964000
2839,07-10-2021,261.8200073,268.3333435,261.1266785,264.5366821,264.5366821,57587400,0.01387426,244.1773352,234.5928506,0.311833689,55879386,83547064.5,0.002120676,0.019987009,7.206665039,7.416687012,-0.210021973,4.804443359,62.69156609,13.323349,64049970,260.9166565,0.002767142,260.5100098,0.008139621,258.4933472,-0.007461809,1.01,0.46,-0.17,-0.08,0.06,0,0.674981,4.5,63.43490601,25.1065464,64.62000275,30.99500084,66,31.15999985,64.48000336,30.60000038,65.19000244,30.73999977,1127700,596600
2840,08-10-2021,265.4033203,265.4599915,260.3033447,261.8299866,261.8299866,50215800,-0.010231835,244.8982681,234.8347672,-0.128007168,55060026,83022403.5,0.002120676,0.019935888,5.156646729,0.923309326,4.233337402,3.437764486,74.43023286,3.699981689,62659650,264.5366821,0.01387426,260.1966553,-0.00120285,258.4066772,-0.000335289,-0.28,-0.45,1.12,0.1,0.6,0,0.712314,4.5,63.02260208,25.27260017,64.19999695,31.20000076,65.34999847,31.20999908,64.05000305,30.90999985,64.62999725,31.07999992,679000,276400
2841,11-10-2021,262.5499878,267.0799866,261.8333435,263.980011,263.980011,42600900,0.008211529,245.596535,235.078034,-0.151643507,54132660,82737813,0.002120676,0.019975,5.246643066,5.25,-0.003356934,3.497762044,73.79134976,0.193328857,58498530,261.8299866,-0.010231835,260.9166565,0.002767142,260.5100098,0.008139621,-0.72,0.22,-0.28,-0.03,0.29,0,0.811131,4.5,62.82627487,25.0052948,64,30.87000084,65.27999878,31.06999969,63.97000122,30.84000015,64.5,31.01000023,511800,244600
2842,12-10-2021,266.9766541,270.7733459,265.5233459,268.5733337,268.5733337,66060000,0.017400267,246.2368683,235.3179507,0.550671465,53436912,82725129,0.002120676,0.019994487,5.25,6.793334961,-1.543334961,3.5,74.07765072,9.386657715,57490110,263.980011,0.008211529,264.5366821,0.01387426,260.1966553,-0.00120285,-0.06,0.56,-0.44,-0.89,-0.25,0,0.84075,4.5,65.52584839,24.77848816,66.75,30.59000015,67.29000092,30.68000031,64.48000336,30.51000023,64.58999634,30.54999924,1529900,290400
2843,13-10-2021,270.1566772,271.8033447,268.5933228,270.3599854,270.3599854,42360300,0.006652379,246.912468,235.5636006,-0.358760218,52986900,82452751.5,0.002120676,0.019971694,3.210021973,3.230010986,-0.019989014,2.140014648,74.9002142,9.923309326,55443270,268.5733337,0.017400267,261.8299866,-0.010231835,260.9166565,0.002767142,0.43,-0.08,-1.06,-0.47,-0.77,0,0.868856,4.5,65.7221756,25.34550285,66.94999695,31.29000092,68.09999847,31.53000069,65.68000031,31.03000069,67,31.52899933,1558700,249000
